"speaker","text","neg","neu","pos","compound","firstmatch","starttime","lastmatch","endtime","simple","matched","ratio"
"SANDERS","People who have health care under Medicare for all will have no premiums no deductibles no copayments no out-of-pocket expenses. Yes they will pay more in taxes but less in health care for what they get.",0.173,0.639,0.188,0.5647,563,318.889,604,337.519,"people who have health care under medicare for all will have no premiums no deductibles no copayments no out-of-pocket expenses yes they will pay more in taxes but less in health care for what they get","people who have health care on the medicare fraud will have no premiums no deductibles no co payments no out of out of pocket expenses yes they will pay more in taxes but less in health care for what they gonna get",0.9253012048192771
"GUTHRIE","Thank you Senator.",0.0,0.444,0.556,0.3612,608,338.859,608,340.029,"thank you senator","senator",0.5833333333333334
"GUTHRIE","Senator Bennet we're going to get to everybody I promise.",0.0,0.777,0.223,0.3182,613,341.859,616,342.859,"senator bennet we're going to get to everybody i promise","get in here promise",0.4266666666666667
"BENNET","No I'd like to say something.",0.253,0.46,0.287,0.0772,"","","","","no i'd like to say something","",0.0
"GUTHRIE","But let me just  Senator Biden  promise everybody's going to get in here promise. Vice President Biden Senator Sanders as you know has been calling for a revolution. Recently in remarks to a group of wealthy donors as you were speaking about problem of income inequality in this country you said we shouldn't quote ""demonize the rich."" You said ""Nobody has to be punished. No one's standard of living would change. Nothing would fundamentally change."" What did you mean by that?",0.09,0.83,0.081,-0.2023,620,345.609,684,365.779,"but let me just senator biden promise everybody's going to get in here promise vice president biden senator sanders as you know has been calling for a revolution recently in remarks to a group of wealthy donors as you were speaking about problem of income inequality in this country you said we shouldn't quote demonize the rich you said nobody has to be punished no one's standard of living would change nothing would fundamentally change what did you mean by that","senator sanders as you know has been calling for a revolution recently and remarks to a group of wealthy donors as you were speaking about the problem of income inequality in this country you said we shouldn't quote demonize the rich you said nobody has to be punished no one standard of living would change nothing would fundamentally change what did you mean by that",0.8691476590636255
"BIDEN","What I meant by that is look Donald Trump thinks Wall Street built America.",0.0,1.0,0.0,0.0,685,366.399,694,370.319,"what i meant by that is look donald trump thinks wall street built america","that is look donald trump thinks wall street of america",0.8217054263565892
"BIDEN","Ordinary middle-class Americans built America. My dad used to have an expression. He said Joe a job is about a lot more than a paycheck. It's about your dignity. It's about respect. It's being able to look your kid in the eye and say everything is going to be OK.",0.0,0.834,0.166,0.8286,695,370.819,739,382.449,"ordinary middle-class americans built america my dad used to have an expression he said joe a job is about a lot more than a paycheck it's about your dignity it's about respect it's being able to look your kid in the eye and say everything is going to be ok","ordinary middle class americans build america my dad used to have an expression see joe a job is about a lot more than a paycheck despite your dignity it's about respect being able to look your kid in the eye and say everything's gonna be",0.9131313131313131
"BIDEN","Too many people who are at the middle class and poor have had the bottom fall out under this proposal. What I'm saying is that we've got to be straight-forward. We have to make sure we understand that to return dignity to the middle class they have to have insurance that is covered and they can afford it. They have to make sure that we have a situation where there's continuing education and they're able to pay for it. And they have to make sure that they're able to breathe air that is clean and they have water that they can drink.",0.041,0.848,0.111,0.7783,741,383.309,841,411.999,"too many people who are at the middle class and poor have had the bottom fall out under this proposal what i'm saying is that we've got to be straight-forward we have to make sure we understand that to return dignity to the middle class they have to have insurance that is covered and they can afford it they have to make sure that we have a situation where there's continuing education and they're able to pay for it and they have to make sure that they're able to breathe air that is clean and they have water that they can drink","too many people who are in the middle class and poor have at the bottom fall out under this proposal what i'm saying is that we've got to be straight forward we have to make sure we understand that to return dignity middle class they have have insurance that is covered and they can afford it they have to make sure that we have in a situation where there's continuing education and they're able to pay for it they have to make sure that they're able to breathe air that is clean and they they have water that they can drink",0.9706161137440759
"BIDEN","Look Donald Trump has put us in a horrible situation. We do have enormous income inequality. And the one thing I agree on is we can make massive cuts in the $1.6 trillion in tax loopholes out there and I would be going about eliminating Donald Trump's tax cut for the wealthy.",0.137,0.775,0.088,-0.4215,842,412.009,894,430.229,"look donald trump has put us in a horrible situation we do have enormous income inequality and the one thing i agree on is we can make massive cuts in the $1 6 trillion in tax loopholes out there and i would be going about eliminating donald trump's tax cut for the wealthy","look donald trump has put us in a horrible situation we do have enormous income inequality and the one thing i agree on is we could make massive cuts in the 1.6 trillion dollars in tax loopholes out there and i would be going about eliminating donald trump's tax cuts for the wealthy",0.9676258992805755
"GUTHRIE","Vice President Biden thank you. Senator Harris",0.0,0.706,0.294,0.3612,895,430.239,900,432.759,"vice president biden thank you senator harris","vice president biden thank you senator",0.9156626506024096
"GUTHRIE","There's is a lot of talk in this primary about new government benefits such as student loan cancellation free college health care and more. Do you think that Democrats have a responsibility to explain how they will pay for every proposal they make along those lines?",0.028,0.792,0.18,0.8271,903,436.179,946,451.509,"there's is a lot of talk in this primary about new government benefits such as student loan cancellation free college health care and more do you think that democrats have a responsibility to explain how they will pay for every proposal they make along those lines","a lot of talk in this primary about new government benefits such a student loan cancellation free college health care and more do you think that democrats have a responsibility to explain how they will pay for every proposal they make along those lines",0.9767441860465116
"HARRIS","Well let me tell you something. I hear that question but where was that question when the Republicans and Donald Trump passed a tax bill that benefits the top 1 percent and the biggest corporations in this country?",0.0,0.817,0.183,0.7311,947,451.749,983,467.479,"well let me tell you something i hear that question but where was that question when the republicans and donald trump passed a tax bill that benefits the top 1 percent and the biggest corporations in this country","well let me tell you something i hear that question but where was that question when the republicans and donald trump passed a tax bill but that benefits the top at least one trillion dollars to the",0.8536585365853658
"HARRIS","Contributing at least $1 trillion to the debt of America which middle-class families will pay for one way or another.",0.178,0.822,0.0,-0.4404,984,467.479,997,471.519,"contributing at least $1 trillion to the debt of america which middle-class families will pay for one way or another","debt of america which middle class families will pay for one way or another",0.774869109947644
"HARRIS","Working families need support and need to be lifted up. And frankly this economy is not working for working people. For too long the rules have been written in the favor of the people who have the most and not in favor of the people who work the most which I why I am proposing that we change the tax code so for every family that is making less than $100000 a year they will receive a tax credit that they can collect up to $500 a month which will make all the difference between those families being able to get through the end of the month with dignity and with support or not.",0.0,0.865,0.135,0.9337,998,471.889,1110,504.724,"working families need support and need to be lifted up and frankly this economy is not working for working people for too long the rules have been written in the favor of the people who have the most and not in favor of the people who work the most which i why i am proposing that we change the tax code so for every family that is making less than $100000 a year they will receive a tax credit that they can collect up to $500 a month which will make all the difference between those families being able to get through the end of the month with dignity and with support or not","working families need support and need to be lifted up and frankly this economy is not working for working people for too long the rules have been written in the favor of the people who have the most and not in favor of the people who work the most which is why i am proposing that we change the tax code so for every family that is making less than $100,000 a year they will receive a tax credit that they can collect at $500 a month which will make all the difference between those families being able to get through the end of the month with dignity and with support or not",0.9939288811795317
"HARRIS","And on day one I will repeal that tax bill that benefits the top 1 percent and the biggest corporations of America.",0.0,0.804,0.196,0.5267,1111,504.734,1129,509.484,"and on day one i will repeal that tax bill that benefits the top 1 percent and the biggest corporations of america","and on day one i will repeal that tax bill that benefits the top 1% of the biggest corporations",0.8803827751196173
"GUTHRIE","Senator Harris thank you.",0.0,0.545,0.455,0.3612,"","","","","senator harris thank you","",0.0
"GUTHRIE","Governor Hickenlooper let me get you in on this. You've warned that Democrats will lose in 2020 if they ""embrace socialism"" as you put it. You were booed at the California Democratic convention when you said that. Only one candidate on this stage Senator Sanders identifies himself as a democratic socialist. What are the policies or positions of your opponents that you think are veering towards ""socialism""?",0.068,0.899,0.033,-0.3612,1139,517.144,1190,536.564,"governor hickenlooper let me get you in on this you've warned that democrats will lose in 2020 if they embrace socialism as you put it you were booed at the california democratic convention when you said that only one candidate on this stage senator sanders identifies himself as a democratic socialist what are the policies or positions of your opponents that you think are veering towards socialism","in 2020 if they embrace socialism as you put it you were booed at the california democratic convention when you said that only one candidate on this stage senator sanders identifies himself as a democratic socialist what are the policies or positions of your opponents that you think are veering towards socialism",0.8779803646563815
"HICKENLOOPER","Well I think that the bottom line is if we don't clearly define that we are not socialists the Republicans are going to come at us every way they can and call us socialists.",0.064,0.877,0.059,-0.0408,1191,537.224,1222,547.284,"well i think that the bottom line is if we don't clearly define that we are not socialists the republicans are going to come at us every way they can and call us socialists","well i think that the bottom line is if we don't clearly define that we're not socialists the republicans are gonna come at us every way they can and call us socialists",0.9705882352941176
"HICKENLOOPER","And if you look at the Green New Deal which I admire the sense of urgency and how important it is to do climate change  I'm a scientist  but we can't promise every American a government job. If we want to get universal health care coverage I believe that health care is a right and not a privilege but you can't expect to eliminate private insurance for 180 million people many of whom don't want to give it up.",0.06,0.764,0.176,0.8335,1223,547.594,1300,570.074,"and if you look at the green new deal which i admire the sense of urgency and how important it is to do climate change i'm a scientist but we can't promise every american a government job if we want to get universal health care coverage i believe that health care is a right and not a privilege but you can't expect to eliminate private insurance for 180 million people many of whom don't want to give it up","and if you look at the green new deal which i admire the sense of urgency and how important it is to do climate change i'm a scientist but we can't promise every american government job if you want to get universal health care coverage i believe that health care is a right and not a privilege but you can't expect to eliminate private insurance for 180,000,000 people many of whom you don't want to give it up",0.966952264381885
"HICKENLOOPER","In Colorado we brought businesses and nonprofits together and we got near universal health care coverage. We were the first state in America to bring the environmental community and the oil and gas industry to address  aggressively address methane emissions. And we were also the first place to expand reproductive rights on a scale basis and we reduced teen pregnancy by 54 percent.",0.034,0.883,0.082,0.4939,1301,570.304,1359,590.404,"in colorado we brought businesses and nonprofits together and we got near universal health care coverage we were the first state in america to bring the environmental community and the oil and gas industry to address aggressively address methane emissions and we were also the first place to expand reproductive rights on a scale basis and we reduced teen pregnancy by 54 percent","in colorado we brought businesses and nonprofits together we got universal health care coverage we were the first state in america toe bring the environmental community and the oil and gas industry to address aggressively addressed methane emissions and we're also the first place toe toe expand reproductive rights on a scale basis that we reduce teen pregnancy by",0.9489247311827957
"HICKENLOOPER","We've done the big progressive things that people said couldn't be done. I've done what pretty much everyone else up here is still talking about doing.",0.0,0.887,0.113,0.4939,1361,591.354,1386,599.334,"we've done the big progressive things that people said couldn't be done i've done what pretty much everyone else up here is still talking about doing","we've done the big progressive things that people said couldn't be done i'm done what pretty much everyone else up here is still talking about doing",0.98989898989899
"GUTHRIE","Governor thank you.",0.0,0.444,0.556,0.3612,1387,599.664,1389,600.424,"governor thank you","governor thank you",1.0
"GUTHRIE","Senator Sanders I'll give you a chance to",0.0,0.75,0.25,0.25,1390,600.424,1399,605.076,"senator sanders i'll give you a chance to","senator sanders i'll give you what is your response to",0.7789473684210526
"GUTHRIE","to weigh in here. What is your response to those who say nominating a ""socialist"" would re-elect Donald Trump?",0.0,1.0,0.0,0.0,1400,605.076,1410,608.646,"to weigh in here what is your response to those who say nominating a socialist would re-elect donald trump","those who say nominating a socialist would re elect donald trump",0.7411764705882353
"SANDERS","Well I think the responses that the polls  last poll I saw had us 10 points ahead of Donald Trump because the American people understand that Trump is a phony that Trump is a pathological liar and a racist and that he lied to the American people during his campaign.",0.187,0.774,0.04,-0.8316,1411,610.006,1460,631.746,"well i think the responses that the polls last poll i saw had us 10 points ahead of donald trump because the american people understand that trump is a phony that trump is a pathological liar and a racist and that he lied to the american people during his campaign","well i think the responses that the polls last fall i saw how does 10 points ahead of donald trump because the american people understand that trump is a phony that trump is a pathological liar and a racist and that he lied to the american people during his campaign",0.9773584905660377
"SANDERS","He said he was going to stand up for working families. Well President Trump you're not standing up for working families when you try to throw 32 million people off their health care that they have and that 83 percent of your tax benefits go to the top 1 percent. That's how we beat Trump: We expose him for the fraud that he is.",0.075,0.791,0.135,0.5106,1461,632.136,1517,651.136,"he said he was going to stand up for working families well president trump you're not standing up for working families when you try to throw 32 million people off their health care that they have and that 83 percent of your tax benefits go to the top 1 percent that's how we beat trump: we expose him for the fraud that he is","he said he was going to stand up for working families while president trump you're not standing up for working families when you try to throw 32,000,000 people off the health care that they have and that 83% of your tax benefits go to the top 1% that's how we'd be trump we expose him for the",0.8978930307941653
"GUTHRIE","Senator Gillibrand 30 seconds.",0.0,1.0,0.0,0.0,"","","","","senator gillibrand 30 seconds","",0.0
"GILLIBRAND","I disagree with both their perspectives. The debate we're having in our party right now is confusing because the truth is there's a big difference between capitalism on the one hand and greed on the other. And so all the things that we're trying to change is when companies care more about profits when they do about people.",0.103,0.688,0.209,0.8115,1520,660.526,1571,677.576,"i disagree with both their perspectives the debate we're having in our party right now is confusing because the truth is there's a big difference between capitalism on the one hand and greed on the other and so all the things that we're trying to change is when companies care more about profits when they do about people","the debate we're having in our party right now is confusing because the truth is there's a big difference between capitalism on the one hand and greed on the other and so all the things that we're trying to change is when companies care more about profits when they do about people",0.9335548172757475
"GILLIBRAND","So if you're talking about ending gun violence it's the greed of the NRA and the gun manufacturers that make any progress impossible. It's the greed of the insurance companies and the drug companies when we want to try to get health care as a right and not a privilege.",0.262,0.622,0.116,-0.8446,1572,677.586,1621,694.596,"so if you're talking about ending gun violence it's the greed of the nra and the gun manufacturers that make any progress impossible it's the greed of the insurance companies and the drug companies when we want to try to get health care as a right and not a privilege","so if you're talking about ending gun violence it's the greed of the nra and the gun manufacturers that make any progress impossible it's the greed of the insurance companies and the drug companies when we want to try to get healthcare is a right and so they may not",0.9568480300187617
"GUTHRIE","Senator Gillibrand",0.0,1.0,0.0,0.0,"","","","","senator gillibrand","",0.0
"GILLIBRAND","So there need not be disagreement in the party because in truth we want healthy capitalism.",0.0,0.498,0.502,0.8446,1622,694.606,1632,697.886,"so there need not be disagreement in the party because in truth we want healthy capitalism","be disagreement in the party because in truth we want healthy",0.8079470198675497
"GUTHRIE","Senator thank you.",0.0,0.444,0.556,0.3612,1638,700.826,1638,700.956,"senator thank you","you",0.3
"GILLIBRAND","We don't want corrupted capitalism.",0.234,0.766,0.0,-0.0572,1639,700.966,1639,701.166,"we don't want corrupted capitalism","want",0.21052631578947367
"GUTHRIE","Thank you. I want to be fair to all the candidates. Thank you.",0.0,0.482,0.518,0.765,1646,705.216,1662,710.656,"thank you i want to be fair to all the candidates thank you","you have said quote it's possible to write policy proposals that have no basis in reality you",0.4342105263157895
"GUTHRIE","Senator Bennet you have said quote ""It's possible to write policy proposals that have no basis in reality. You might as well call them candy."" Were you referring to any candidate or proposal in particular when you said that?",0.053,0.896,0.051,-0.0258,1670,712.506,1696,722.866,"senator bennet you have said quote it's possible to write policy proposals that have no basis in reality you might as well call them candy were you referring to any candidate or proposal in particular when you said that","you referring to any candidate proposal in particular when you said that but was drinking that sounded like thank you it was you i appreciate it well",0.41847826086956524
"BENNET","Was that directed to me?",0.0,1.0,0.0,0.0,"","","","","was that directed to me","",0.0
"GUTHRIE","Yes that was your quote.",0.0,0.597,0.403,0.4019,"","","","","yes that was your quote","",0.0
"BENNET","That sounded like me. Thank you.",0.0,0.444,0.556,0.6124,"","","","","that sounded like me thank you","",0.0
"GUTHRIE","It was you.",0.0,1.0,0.0,0.0,"","","","","it was you","",0.0
"BENNET","I appreciate it. Well look first of all I agree completely with Bernie about what the fundamental challenge we're facing as a country is 40 years of no economic growth for 90 percent of the American people; 160000 families in the top .1 percent have the same wealth as the bottom 90 percent; and we've got the worst income inequality that we've had in 100 years.",0.082,0.706,0.212,0.7845,1701,723.906,1751,743.292,"i appreciate it well look first of all i agree completely with bernie about what the fundamental challenge we're facing as a country is 40 years of no economic growth for 90 percent of the american people; 160000 families in the top 1 percent have the same wealth as the bottom 90 percent; and we've got the worst income inequality that we've had in 100 years","i agree completely with burning about what fundamental challenge we're facing his country's 40 years of no economic growth for 90% american people 160,000 families in the top 900.1% have this same wealth is the bottom 90% and we've got the worst in income inequality that we've had in 100 years",0.8392036753445635
"BENNET","Where I disagree is on his solution of Medicare for all. You know I  I have proposed getting to universal health care which we need to do. It is a right. Health care is a right. We need to get to universal health care. I believe the way to do that is by finishing the work we started with Obamacare and creating a public option that every family and every person in America can make a choice for their family about whether they want a public option which for them would be like having Medicare for all or whether they want to keep their private insurance.",0.024,0.801,0.175,0.9274,1752,743.442,1853,773.852,"where i disagree is on his solution of medicare for all you know i i have proposed getting to universal health care which we need to do it is a right health care is a right we need to get to universal health care i believe the way to do that is by finishing the work we started with obamacare and creating a public option that every family and every person in america can make a choice for their family about whether they want a public option which for them would be like having medicare for all or whether they want to keep their private insurance","where i disagree is on his solution on medicare for all you know i have proposed getting to universal health care which we need to do it is a right is a right we need to get to universal health care i believe the way to do that is by finishing the work we started with obamacare and creating a public option that every family and every person america could make a choice for their family about whether they want a public option which for them would be like having medicare for all or whether they want to keep their private insurance",0.9768732654949122
"BENNET","I believe we will get there much more quickly if we do that.",0.0,1.0,0.0,0.0,1854,774.112,1866,778.192,"i believe we will get there much more quickly if we do that","i believe we will get there much more quickly if we do that",1.0
"GUTHRIE","But wait",0.0,1.0,0.0,0.0,1867,779.092,"","","but wait","",0.0
"BENNET","Bernie",0.0,1.0,0.0,0.0,1867,779.092,1867,779.482,"bernie","bernie",1.0
"BENNET","Bernie  if I could just finish Bernie mentioned that  the taxes that we would have to pay. Because of those taxes Vermont rejected Medicare for all.",0.17,0.83,0.0,-0.5719,1868,779.482,1892,786.972,"bernie if i could just finish bernie mentioned that the taxes that we would have to pay because of those taxes vermont rejected medicare for all","if i could just finish bernie mentioned that the taxes that we would have to pay because of those taxes vermont rejected medicare for all",0.9750889679715302
"GUTHRIE","Senator",0.0,1.0,0.0,0.0,"","","","","senator","",0.0
"SANDERS","Hold on.",0.0,1.0,0.0,0.0,"","","","","hold on","",0.0
"GILLIBRAND","In Bernie's bill  in Bernie's bill I wrote",0.0,1.0,0.0,0.0,"","","","","in bernie's bill in bernie's bill i wrote","",0.0
"GUTHRIE","Senator please we are going to talk about health care at length Senator but for the moment my colleague",0.0,0.819,0.181,0.4118,1902,794.492,1922,803.702,"senator please we are going to talk about health care at length senator but for the moment my colleague","senator but for the moment my in senators bill i wrote the part in senator sanders is bill that is the",0.47804878048780486
"GUTHRIE"," wants to continue the questions on the economy.",0.0,1.0,0.0,0.0,1928,805.572,1932,807.012,"wants to continue the questions on the economy","to senator said so the",0.4117647058823529
"GILLIBRAND","I wrote the part in Senator Sanders' bill  I wrote the part in Senator Sanders' bill that is the transition which merges what the two senators said.",0.0,1.0,0.0,0.0,1940,808.482,1954,813.392,"i wrote the part in senator sanders' bill i wrote the part in senator sanders' bill that is the transition which merges what the two senators said","in over a 45 year period you move us to single payer more quickly senator",0.4018264840182648
"GILLIBRAND","Because the truth is if you have a buy-in over a four or five-year period you move us to single-payer more quickly.",0.0,0.892,0.108,0.3182,1958,814.062,1958,814.172,"because the truth is if you have a buy-in over a four or five-year period you move us to single-payer more quickly","to",0.034482758620689655
"DIAZ-BALART","Senator we will get to this.",0.0,1.0,0.0,0.0,1964,817.042,1968,817.882,"senator we will get to this","we do i want to",0.42857142857142855
"DIAZ-BALART","We will get to this.",0.0,1.0,0.0,0.0,"","","","","we will get to this","",0.0
"SANDERS","I just",0.0,1.0,0.0,0.0,"","","","","i just","",0.0
"DIAZ-BALART","Before we do I want to say hello and good evening Buenas Noches to Mayor Pete Buttigieg.",0.0,0.769,0.231,0.4939,1969,818.202,1979,821.522,"before we do i want to say hello and good evening buenas noches to mayor pete buttigieg","say hello and good evening when i'm not just thio mayor",0.5915492957746479
"BUTTIGIEG","Buenas Noches. Gracias (UNTRANSLATED)",0.0,1.0,0.0,0.0,"","","","","buenas noches gracias (untranslated)","",0.0
"DIAZ-BALART","Many of your colleagues on stage support free college. You do not. Why not?",0.0,0.667,0.333,0.7184,1985,825.222,1998,831.252,"many of your colleagues on stage support free college you do not why not","many of your colleagues on stage support free college you do not why not",1.0
"BUTTIGIEG","Sure. So college affordability is personal for us. Chasten and I have six-figure student debt. I believe in reducing student debt. It's logical to me that if you can refinance your house you ought to be able to refinance your student debt. I also believe in free college for low and middle-income students for whom cost could be a barrier.",0.169,0.746,0.085,-0.5423,1999,831.942,2059,850.746,"sure so college affordability is personal for us chasten and i have six-figure student debt i believe in reducing student debt it's logical to me that if you can refinance your house you ought to be able to refinance your student debt i also believe in free college for low and middle-income students for whom cost could be a barrier","sure so college affordability is personal for us jackson and i have six figure student debt i believe in reducing student debt it's logical to me that if you can refinance your house you ought to be able to refinance your student i also believe in free college for low and middle income students for whom costs could be a barrier",0.972809667673716
